TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y,Latitude,Longitude
Other Theft,2003,5,12,16,15,9XX TERMINAL AVE,Strathcona,493906.5,5457452.47,49.26980201,-123.0837633
Other Theft,2003,5,7,15,20,9XX TERMINAL AVE,Strathcona,493906.5,5457452.47,49.26980201,-123.0837633
Other Theft,2003,4,23,16,40,9XX TERMINAL AVE,Strathcona,493906.5,5457452.47,49.26980201,-123.0837633
Other Theft,2003,4,20,11,15,9XX TERMINAL AVE,Strathcona,493906.5,5457452.47,49.26980201,-123.0837633
Other Theft,2003,4,12,17,45,9XX TERMINAL AVE,Strathcona,493906.5,5457452.47,49.26980201,-123.0837633
Other Theft,2003,3,26,20,45,9XX TERMINAL AVE,Strathcona,493906.5,5457452.47,49.26980201,-123.0837633
Break and Enter Residential/Other,2003,3,10,12,0,63XX WILTSHIRE ST,Kerrisdale,489325.58,5452817.95,49.22805078,-123.1466105
Mischief,2003,6,28,4,13,40XX W 19TH AVE,Dunbar-Southlands,485903.09,5455883.77,49.25555918,-123.1937252
Other Theft,2003,2,16,9,2,9XX TERMINAL AVE,Strathcona,493906.5,5457452.47,49.26980201,-123.0837633
Break and Enter Residential/Other,2003,7,9,18,15,18XX E 3RD AVE,Grandview-Woodland,495078.19,5457221.38,49.26773386,-123.067654
Other Theft,2003,1,31,19,45,9XX TERMINAL AVE,Strathcona,493906.5,5457452.47,49.26980201,-123.0837633
Mischief,2003,9,27,1,0,40XX W 21ST AVE,Dunbar-Southlands,485852.96,5455684.11,49.25376204,-123.194407
Break and Enter Residential/Other,2003,4,19,18,0,18XX E 3RD AVE,Grandview-Woodland,495093.69,5457230.31,49.26781432,-123.0674411
Break and Enter Residential/Other,2003,9,24,18,30,18XX E 3RD AVE,Grandview-Woodland,495103.82,5457221.02,49.26773083,-123.0673017
Break and Enter Residential/Other,2003,11,5,8,12,63XX WINDSOR ST,Sunset,493790.48,5452630.9,49.22642977,-123.0852834
Break and Enter Commercial,2003,9,26,2,30,10XX ALBERNI ST,West End,491067.65,5459114.22,49.28471484,-123.1228242
Break and Enter Residential/Other,2003,10,21,10,0,18XX E 3RD AVE,Grandview-Woodland,495119.32,5457229.95,49.26781128,-123.0670888
Other Theft,2003,1,25,12,30,9XX TERMINAL AVE,Strathcona,493906.5,5457452.47,49.26980201,-123.0837633
Offence Against a Person,2003,2,12,,,OFFSET TO PROTECT PRIVACY,,0,0,0,0
Other Theft,2003,1,9,6,45,9XX TERMINAL AVE,Strathcona,493906.5,5457452.47,49.26980201,-123.0837633
Other Theft,2003,4,30,13,6,9XX SEYMOUR ST,Central Business District,491205.19,5458520.26,49.27937407,-123.1209199
Other Theft,2003,12,12,15,50,9XX SEYMOUR ST,Central Business District,491143.26,5458445.58,49.27870142,-123.1217697
Other Theft,2003,3,7,16,15,9XX ROBSON ST,Central Business District,491132.15,5458889.26,49.28269223,-123.1219323
Offence Against a Person,2003,4,4,,,OFFSET TO PROTECT PRIVACY,,0,0,0,0
Mischief,2003,1,23,23,0,40XX W 27TH AVE,Dunbar-Southlands,485822.32,5455051.83,49.24807387,-123.1948057
Mischief,2003,4,1,0,0,40XX W 27TH AVE,Dunbar-Southlands,485855.58,5455060.69,49.24815433,-123.194349
Mischief,2003,6,29,0,30,40XX W 27TH AVE,Dunbar-Southlands,485896.98,5455051.18,49.24806975,-123.1937798
Mischief,2003,10,16,14,10,40XX W 27TH AVE,Dunbar-Southlands,485896.98,5455051.18,49.24806975,-123.1937798
Other Theft,2003,1,28,10,30,9XX NICOLA ST,West End,490245.93,5459326.44,49.28661123,-123.1341283
Theft from Vehicle,2003,8,5,12,25,10XX CARDERO ST,West End,490148.05,5459395.79,49.28723347,-123.135476
Theft from Vehicle,2003,6,17,16,15,11XX MAINLAND ST,Central Business District,491144.35,5458003.1,49.27472125,-123.1217449
Offence Against a Person,2003,3,20,,,OFFSET TO PROTECT PRIVACY,,0,0,0,0
Offence Against a Person,2003,4,17,,,OFFSET TO PROTECT PRIVACY,,0,0,0,0
Offence Against a Person,2003,7,14,,,OFFSET TO PROTECT PRIVACY,,0,0,0,0
Offence Against a Person,2003,8,8,,,OFFSET TO PROTECT PRIVACY,,0,0,0,0
Offence Against a Person,2003,8,13,,,OFFSET TO PROTECT PRIVACY,,0,0,0,0
Theft from Vehicle,2003,6,13,12,0,11XX MAINLAND ST,Central Business District,491144.35,5458003.1,49.27472125,-123.1217449
Theft from Vehicle,2003,6,11,15,0,11XX MAINLAND ST,Central Business District,491144.35,5458003.1,49.27472125,-123.1217449
Mischief,2003,11,8,22,15,11XX HAMILTON ST,Central Business District,491191.19,5458127.83,49.2758439,-123.1211037
Theft from Vehicle,2003,4,21,17,0,11XX NOOTKA ST,Hastings-Sunrise,496994,5457986.17,49.27462571,-123.0413255
Mischief,2003,8,5,22,0,11XX HARO ST,West End,490746.68,5459115.7,49.28472338,-123.1272377
Theft from Vehicle,2003,8,19,6,15,10XX BROUGHTON ST,West End,490277.84,5459189.14,49.2853767,-123.1336862
Other Theft,2003,6,26,20,37,9XX DENMAN ST,West End,490021.1,5459742.61,49.2903511,-123.1372304
Other Theft,2003,12,1,14,37,9XX DAVIE ST,Central Business District,490670.45,5458416.73,49.27843487,-123.1282696
Offence Against a Person,2003,1,18,,,OFFSET TO PROTECT PRIVACY,,0,0,0,0
Mischief,2003,9,2,9,25,13XX FRANCES ST,Grandview-Woodland,494457.52,5458520.55,49.27941482,-123.0762036
Mischief,2003,3,18,0,30,40XX W 31ST AVE,Dunbar-Southlands,485893.41,5454627.54,49.24425895,-123.193814
Other Theft,2003,10,18,10,50,9XX DAVIE ST,Central Business District,490670.45,5458416.73,49.27843487,-123.1282696
Other Theft,2003,10,11,10,20,9XX DAVIE ST,Central Business District,490670.45,5458416.73,49.27843487,-123.1282696
Other Theft,2003,5,28,18,51,9XX DAVIE ST,Central Business District,490670.45,5458416.73,49.27843487,-123.1282696
Break and Enter Residential/Other,2003,6,30,23,0,64XX ARGYLE ST,Victoria-Fraserview,494772.11,5452573.02,49.22591829,-123.0718007
Other Theft,2003,5,5,2,0,9XX DAVIE ST,Central Business District,490670.45,5458416.73,49.27843487,-123.1282696
Other Theft,2003,2,24,21,35,9XX DAVIE ST,Central Business District,490670.45,5458416.73,49.27843487,-123.1282696
Other Theft,2003,2,4,23,50,9XX DAVIE ST,Central Business District,490670.45,5458416.73,49.27843487,-123.1282696
Break and Enter Residential/Other,2003,11,29,9,30,64XX ARGYLE ST,Victoria-Fraserview,494781.2,5452570.78,49.22589822,-123.0716758
Break and Enter Residential/Other,2003,1,25,15,39,64XX ARGYLE ST,Victoria-Fraserview,494781.49,5452582.96,49.22600778,-123.071672
Other Theft,2003,10,3,21,32,9XX CANADA PL,Central Business District,491613.02,5459490.77,49.28810969,-123.115333
Other Theft,2003,10,9,20,40,9XX BURRARD ST,West End,490938.26,5458831.78,49.28217234,-123.1245969
Offence Against a Person,2003,11,28,,,OFFSET TO PROTECT PRIVACY,,0,0,0,0
Other Theft,2003,9,6,16,25,9XX BURRARD ST,West End,490938.26,5458831.78,49.28217234,-123.1245969
Theft from Vehicle,2003,5,22,19,0,11XX MAINLAND ST,Central Business District,491144.35,5458003.1,49.27472125,-123.1217449
Theft from Vehicle,2003,5,12,8,6,11XX MAINLAND ST,Central Business District,491144.35,5458003.1,49.27472125,-123.1217449
Theft from Vehicle,2003,5,10,22,30,11XX MAINLAND ST,Central Business District,491144.35,5458003.1,49.27472125,-123.1217449
Theft from Vehicle,2003,5,10,21,45,11XX MAINLAND ST,Central Business District,491144.35,5458003.1,49.27472125,-123.1217449
Other Theft,2003,8,30,16,5,9XX BURRARD ST,West End,490938.26,5458831.78,49.28217234,-123.1245969
Mischief,2003,10,16,22,40,40XX W 34TH AVE,Dunbar-Southlands,485832.63,5454312.38,49.24142262,-123.1946379
Other Theft,2003,8,6,21,0,9XX BURRARD ST,West End,490938.26,5458831.78,49.28217234,-123.1245969
Other Theft,2003,7,30,20,30,9XX BURRARD ST,West End,490938.26,5458831.78,49.28217234,-123.1245969
Mischief,2003,4,13,22,0,40XX W 34TH AVE,Dunbar-Southlands,485891.03,5454311.79,49.24141866,-123.1938356
Break and Enter Commercial,2003,5,14,1,0,10XX BARCLAY ST,West End,490848.24,5458858.33,49.28240982,-123.1258353
Other Theft,2003,7,1,13,0,9XX BURRARD ST,West End,490938.26,5458831.78,49.28217234,-123.1245969
Mischief,2003,6,13,9,15,40XX W 35TH AVE,Dunbar-Southlands,485826.9,5454218.17,49.24057505,-123.1947133
Theft from Vehicle,2003,4,12,8,0,11XX MAINLAND ST,Central Business District,491144.35,5458003.1,49.27472125,-123.1217449
Mischief,2003,10,29,22,15,40XX W 35TH AVE,Dunbar-Southlands,485841.36,5454218.02,49.24057404,-123.1945146
Break and Enter Residential/Other,2003,11,10,8,0,18XX E 53RD AVE,Victoria-Fraserview,495015.78,5452123.25,49.22187452,-123.0684485
Break and Enter Commercial,2003,12,25,5,55,10XX BEACH AVE,West End,490227.22,5458210.38,49.2765718,-123.1343584
Theft from Vehicle,2003,4,7,22,0,11XX MAINLAND ST,Central Business District,491144.35,5458003.1,49.27472125,-123.1217449
Theft from Vehicle,2003,4,4,22,30,11XX MAINLAND ST,Central Business District,491144.35,5458003.1,49.27472125,-123.1217449
Theft from Vehicle,2003,1,21,9,0,11XX MAINLAND ST,Central Business District,491144.35,5458003.1,49.27472125,-123.1217449
Mischief,2003,9,29,22,0,40XX W 35TH AVE,Dunbar-Southlands,485890.85,5454208.35,49.2404882,-123.1938344
Mischief,2003,10,4,17,0,40XX W 35TH AVE,Dunbar-Southlands,485890.85,5454208.35,49.2404882,-123.1938344
Theft from Vehicle,2003,1,13,14,30,11XX MAINLAND ST,Central Business District,491144.35,5458003.1,49.27472125,-123.1217449
Theft from Vehicle,2003,1,3,22,0,11XX MAINLAND ST,Central Business District,491144.35,5458003.1,49.27472125,-123.1217449
Theft from Vehicle,2003,5,10,22,0,11XX MAINLAND ST,Central Business District,491135.72,5457994.55,49.27464422,-123.1218633
Theft from Vehicle,2003,6,11,13,0,11XX MAINLAND ST,Central Business District,491127.08,5457985.99,49.2745671,-123.1219819
Theft from Vehicle,2003,10,11,18,0,11XX MAINLAND ST,Central Business District,491118.48,5457990.34,49.2746061,-123.1221003
Theft from Vehicle,2003,1,18,15,30,11XX MAINLAND ST,Central Business District,491118.48,5457990.34,49.2746061,-123.1221003
Theft from Vehicle,2003,12,19,17,0,11XX MAIN ST,Central Business District,492720.13,5457973.5,49.27447579,-123.100081
Mischief,2003,9,25,21,0,40XX W 39TH AVE,Dunbar-Southlands,485711.91,5453767.32,49.2365169,-123.196277
Theft from Vehicle,2003,11,6,11,0,11XX MAIN ST,Central Business District,492720.13,5457973.5,49.27447579,-123.100081
Offence Against a Person,2003,3,30,,,OFFSET TO PROTECT PRIVACY,,0,0,0,0
Theft from Vehicle,2003,9,24,17,0,11XX MAIN ST,Central Business District,492720.13,5457973.5,49.27447579,-123.100081
Theft from Vehicle,2003,9,24,10,0,11XX MAIN ST,Central Business District,492720.13,5457973.5,49.27447579,-123.100081
Theft from Vehicle,2003,8,12,4,0,11XX MAIN ST,Central Business District,492720.13,5457973.5,49.27447579,-123.100081
Theft from Vehicle,2003,8,8,19,0,11XX MAIN ST,Central Business District,492720.13,5457973.5,49.27447579,-123.100081
Theft from Vehicle,2003,9,30,0,1,11XX MAIN ST,Central Business District,492719.41,5457952.84,49.27428994,-123.1000905
Theft from Vehicle,2003,9,25,16,0,11XX MAIN ST,Central Business District,492719.41,5457952.84,49.27428994,-123.1000905
Theft from Vehicle,2003,4,10,18,0,11XX MAIN ST,Central Business District,492719.41,5457952.84,49.27428994,-123.1000905
Theft from Vehicle,2003,1,2,23,55,11XX MAIN ST,Central Business District,492719.41,5457952.84,49.27428994,-123.1000905
Theft from Vehicle,2003,9,12,14,56,11XX MAIN ST,Central Business District,492719.17,5457945.96,49.27422805,-123.1000937
Theft from Vehicle,2003,3,22,22,0,11XX LAMEYS MILL RD,Fairview,490588.46,5457083.65,49.26644234,-123.1293655
Offence Against a Person,2003,11,9,,,OFFSET TO PROTECT PRIVACY,,0,0,0,0
Theft from Vehicle,2003,12,17,21,0,11XX KINGSWAY AVE,Kensington-Cedar Cottage,494110.39,5455539.44,49.25259592,-123.0809324
Theft from Vehicle,2003,8,11,17,30,11XX KINGSWAY AVE,Kensington-Cedar Cottage,494051.71,5455570.03,49.25287052,-123.0817392
Theft from Vehicle,2003,12,25,23,30,11XX JERVIS ST,West End,490236.53,5458948.41,49.28321064,-123.1342484
Theft from Vehicle,2003,8,26,23,0,11XX JERVIS ST,West End,490236.53,5458948.41,49.28321064,-123.1342484
Mischief,2003,9,9,21,0,40XX W 8TH AVE,West Point Grey,485741.68,5456968.98,49.26531707,-123.195982
Theft from Vehicle,2003,4,13,13,0,11XX JERVIS ST,West End,490236.53,5458948.41,49.28321064,-123.1342484
Break and Enter Residential/Other,2003,4,20,0,0,64XX CHESTER ST,Sunset,493486.57,5452554.75,49.22574162,-123.0894562
Mischief,2003,10,23,23,0,40XX W 8TH AVE,West Point Grey,485919.48,5456941.62,49.26507508,-123.1935372
Theft from Vehicle,2003,9,21,19,0,11XX JERVIS ST,West End,490188.32,5458911.1,49.28287426,-123.1349103
Theft from Vehicle,2003,2,10,22,30,11XX JERVIS ST,West End,490188.32,5458911.1,49.28287426,-123.1349103
Theft from Vehicle,2003,7,22,22,30,11XX IRONWORK PASS,Fairview,490568.4,5457249.13,49.26793055,-123.1296451
Theft from Vehicle,2003,11,24,22,30,11XX JERVIS ST,West End,490303.9,5459015.23,49.28381277,-123.1333237
Mischief,2003,8,2,4,0,40XX WELWYN ST,Kensington-Cedar Cottage,494907.92,5455144.97,49.24905474,-123.0699681
Mischief,2003,4,18,22,0,40XX WELWYN ST,Kensington-Cedar Cottage,494917.52,5455172.55,49.2493029,-123.0698366
Theft from Vehicle,2003,10,29,8,10,11XX HOWE ST,Central Business District,490860.47,5458453.14,49.27876526,-123.1256579
Break and Enter Commercial,2003,11,2,18,30,10XX BEACH AVE,Central Business District,490252.38,5458162.72,49.27614349,-123.1340113
Theft from Vehicle,2003,10,11,23,0,11XX HOWE ST,Central Business District,490860.47,5458453.14,49.27876526,-123.1256579
Theft from Vehicle,2003,9,9,13,30,11XX HOWE ST,Central Business District,490860.47,5458453.14,49.27876526,-123.1256579
Theft from Vehicle,2003,8,25,0,15,11XX HOWE ST,Central Business District,490860.47,5458453.14,49.27876526,-123.1256579
Theft from Vehicle,2003,5,27,6,15,11XX HOWE ST,Central Business District,490860.47,5458453.14,49.27876526,-123.1256579
Offence Against a Person,2003,1,22,,,OFFSET TO PROTECT PRIVACY,,0,0,0,0
Theft from Vehicle,2003,5,22,15,30,11XX HOWE ST,Central Business District,490860.47,5458453.14,49.27876526,-123.1256579
Offence Against a Person,2003,9,12,,,OFFSET TO PROTECT PRIVACY,,0,0,0,0
Mischief,2003,1,24,14,10,41XX ALEXANDRA ST,Shaughnessy,489706.9,5455180.78,49.24931147,-123.1414339
Break and Enter Residential/Other,2003,9,6,21,20,18XX E 6TH AVE,Grandview-Woodland,495153.82,5456927.99,49.26509537,-123.0666109
Break and Enter Residential/Other,2003,9,9,9,0,18XX E 7TH AVE,Grandview-Woodland,495070.2,5456828.59,49.26420058,-123.067759
Offence Against a Person,2003,11,7,,,OFFSET TO PROTECT PRIVACY,,0,0,0,0
Theft from Vehicle,2003,5,16,22,40,11XX HOWE ST,Central Business District,490860.47,5458453.14,49.27876526,-123.1256579
Theft from Vehicle,2003,4,24,16,0,11XX HOWE ST,Central Business District,490860.47,5458453.14,49.27876526,-123.1256579
Theft from Vehicle,2003,3,30,19,45,11XX HOWE ST,Central Business District,490860.47,5458453.14,49.27876526,-123.1256579
